emoji,description
😀,mặt cười toe toét
😃,khuôn mặt cười toe toét với đôi mắt to
😄,khuôn mặt cười toe toét với đôi mắt cười
😁,khuôn mặt rạng rỡ với đôi mắt cười
😆,mặt cười toe toét
😅,mặt cười toe toét vì mồ hôi
🤣,Cười lăn lộn
😂,khuôn mặt với những giọt nước mắt của niềm vui
🙂,khuôn mặt hơi mỉm cười
🙃,mặt lộn ngược
😉,mặt nháy mắt
😊,khuôn mặt cười với đôi mắt cười
😇,mặt cười với vầng hào quang
🥰,mặt cười với trái tim
😍,khuôn mặt cười với đôi mắt trái tim
🤩,đánh dấu sao
😘,khuôn mặt với một nụ hôn
😗,mặt với nụ hôn
☺,khuôn mặt tươi cười
😚,hôn mặt nhắm mắt
😙,hôn mặt với đôi mắt cười
😋,đối mặt với thức ăn ngon
😛,mặt với lưỡi
😜,mặt nháy mắt với lưỡi
🤪,khuôn mặt zany
😝,mặt lé với lưỡi
🤑,mặt ăn tiền
🤗,ôm mặt
🤭,đưa tay lên miệng
🤫,mặt đỏ bừng
🤔,khuôn mặt suy nghĩ
🤐,mặt khóa kéo
🤨,khuôn mặt nhíu mày
😐,khuôn mặt trung lập
😑,khuôn mặt vô cảm
😶,mặt không có miệng
😏,mặt nhếch mép
😒,khuôn mặt không vui
🙄,khuôn mặt với đôi mắt đảo
😬,mặt nhăn nhó
🤥,mặt nói dối
😌,khuôn mặt nhẹ nhõm
😔,khuôn mặt trầm ngâm
😪,khuôn mặt buồn ngủ
🤤,mặt chảy nước dãi
😴,mặt ngủ
😷,đeo khẩu trang y tế
🤒,mặt với nhiệt kế
🤕,mặt với băng quấn đầu
🤢,mặt buồn nôn
🤮,mặt nôn mửa
🤧,mặt hắt hơi
🥵,nóng mặt
🥶,mặt lạnh
🥴,khuôn mặt lạnh lùng
😵,chóng mặt
🤯,đầu nổ tung
🤠,mặt đội mũ cao bồi
🥳,khuôn mặt tiệc tùng
😎,mặt cười với kính râm
🤓,mặt mọt sách
🧐,mặt với một mắt
😕,khuôn mặt bối rối
😟,khuôn mặt lo lắng
🙁,mặt hơi cau có
☹,mặt cau có
😮,mặt ngạc nhiên 
😯,khuôn mặt im lặng
😲,khuôn mặt kinh ngạc
😳,mặt đỏ bừng
🥺,khuôn mặt cầu xin
😦,khuôn mặt cau có mở miệng
😧,khuôn mặt đau khổ
😨,khuôn mặt sợ hãi
😰,khuôn mặt lo lắng với mồ hôi
😥,khuôn mặt buồn nhưng nhẹ nhõm
😢,mặt khóc
😭,mặt khóc to
😱,mặt hét lên vì sợ hãi
😖,khuôn mặt bối rối
😣,khuôn mặt kiên trì
😞,khuôn mặt thất vọng
😓,khuôn mặt u ám với mồ hôi
😩,khuôn mặt mệt mỏi
😫,khuôn mặt mệt mỏi
🥱,Mặt ngáp 
😤,mặt có hơi nước từ mũi
😡,mặt bĩu môi
😠,gương mặt giận dữ
🤬,khuôn mặt với biểu tượng trên miệng
😈,mặt cười có sừng
👿,khuôn mặt giận dữ với sừng
💀,đầu lâu
☠,đầu lâu xương chéo
💩,đống phân
🤡,mặt hề
👹,yêu tinh
👺,yêu tinh
👻,con ma
👽,người ngoài hành tinh
👾,quái vật ngoài hành tinh
🤖,người máy
😺,mèo cười toe toét
😸,mèo cười toe toét với đôi mắt cười
😹,con mèo với những giọt nước mắt của niềm vui
😻,con mèo cười với đôi mắt trái tim
😼,con mèo với nụ cười gượng gạo
😽,hôn mèo
🙀,con mèo mệt mỏi
😿,con mèo đang khóc
😾,mèo bĩu môi
🙈,con khỉ không nhìn thấy ác
🙉,khỉ không nghe thấy
🙊,con khỉ nói-không-ác
💋,dấu hôn
💌,bức thư tình
💘,trái tim với mũi tên
💝,trái tim với ruy băng
💖,trái tim lấp lánh
💗,trái tim đang lớn lên
💓,tim đập
💞,trái tim quay
💕,hai trái tim
💟,trang trí trái tim
❣,cảm thán trái tim
💔,trái tim tan vỡ
❤,trái tim đỏ
🧡,trái tim màu cam
💛,trái tim màu vàng
💚,trái tim màu xanh
💙,tim xanh
💜,trái tim tím
🤎,⊛ trái tim màu nâu
🖤,trái tim đen
🤍,⊛ trái tim màu trắng
💯,trăm điểm
💢,biểu tượng giận dữ
💥,va chạm
💫,chóng mặt
💦,giọt mồ hôi
💨,phóng đi
🕳,hố
💣,bom
💬,bong bóng thoại
👁️‍🗨️,mắt trong bong bóng thoại
🗨,bong bóng thoại bên trái
🗯,bong bóng tức giận đúng
💭,khinh khí cầu
💤,zzz
👋,vẫy tay
🤚,giơ tay lên
🖐,bàn tay với các ngón tay xòe ra
✋,giơ tay
🖖,chào theo kiểu vulcan
👌,OK tay
🤏,⊛ véo tay
✌,bàn tay chiến thắng
🤞,Đan chéo ngón tay
🤟,cử chỉ yêu bạn
🤘,dấu hiệu của sừng
🤙,gọi tay tôi
👈,chỉ số trái tay trỏ sang trái
👉,chỉ số trái tay trỏ sang phải
👆,chỉ số trái tay hướng lên
🖕,ngón giữa
👇,chỉ số trái tay trỏ xuống
☝,chỉ mục hướng lên
👍,thích
👎,không thích
✊,nắm tay giơ lên
👊,nắm tay sắp tới
🤛,nắm tay trái
🤜,nắm tay phải đối mặt
👏,vỗ tay
🙌,giơ tay
👐,mở tay
🤲,úp bàn tay vào nhau
🤝,bắt tay
🙏,chắp tay
✍,viết tay
💅,làm móng
🤳,Chụp ảnh tự sướng
💪,bắp tay uốn cong
🦾,⊛ cánh tay cơ khí
🦿,⊛ chân máy
